Epoch,Train Loss,Val Loss,MSE,MAE,R²,Learning Rate
153,0.046077,0.060694,0.060694,0.157579,0.718410,0.000037
154,0.045915,0.059744,0.059744,0.157946,0.722813,0.000019
155,0.045250,0.059869,0.059869,0.153239,0.722984,0.000019
156,0.044866,0.060293,0.060293,0.154010,0.720946,0.000019
157,0.044559,0.059276,0.059276,0.154115,0.725226,0.000019
158,0.044233,0.059475,0.059475,0.152193,0.724633,0.000019
159,0.043957,0.059597,0.059597,0.155469,0.723984,0.000019
160,0.044056,0.059570,0.059570,0.155430,0.724225,0.000019
161,0.044122,0.059718,0.059718,0.156090,0.723129,0.000019
162,0.044067,0.059553,0.059553,0.152101,0.724129,0.000019
163,0.043873,0.059443,0.059443,0.153340,0.724534,0.000019
164,0.043694,0.060259,0.060259,0.151503,0.721575,0.000019
165,0.043664,0.059393,0.059393,0.152324,0.725409,0.000009
166,0.043294,0.059715,0.059715,0.151052,0.723668,0.000009
167,0.042966,0.058806,0.058806,0.149380,0.727878,0.000009
168,0.042990,0.059107,0.059107,0.151150,0.726356,0.000009
169,0.042896,0.059409,0.059409,0.151031,0.725174,0.000009
170,0.042707,0.059429,0.059429,0.150562,0.724747,0.000009
171,0.042584,0.058906,0.058906,0.151683,0.726929,0.000009
172,0.042476,0.059496,0.059496,0.149361,0.724840,0.000009
173,0.042523,0.058555,0.058555,0.149209,0.728921,0.000009
174,0.042345,0.059387,0.059387,0.151194,0.724943,0.000009
175,0.042358,0.059707,0.059707,0.150567,0.723713,0.000009
176,0.042259,0.058964,0.058964,0.149515,0.727146,0.000009
177,0.042316,0.059428,0.059428,0.151070,0.724966,0.000009
178,0.042054,0.059118,0.059118,0.149327,0.726524,0.000009
179,0.042257,0.059468,0.059468,0.151328,0.724474,0.000009
180,0.042084,0.059097,0.059097,0.151186,0.726331,0.000009
181,0.042123,0.059252,0.059252,0.149434,0.725880,0.000005
182,0.041944,0.058537,0.058537,0.148730,0.728983,0.000005
183,0.041774,0.058911,0.058911,0.149994,0.727294,0.000005
184,0.041838,0.058746,0.058746,0.149433,0.728250,0.000005
185,0.041511,0.058702,0.058702,0.150082,0.728155,0.000005
186,0.041704,0.059337,0.059337,0.148892,0.725592,0.000005
187,0.041459,0.060272,0.060272,0.150418,0.721456,0.000005
188,0.041534,0.058666,0.058666,0.148393,0.728565,0.000005
189,0.041512,0.058580,0.058580,0.146977,0.729183,0.000005
190,0.041503,0.059521,0.059521,0.149230,0.724989,0.000005
191,0.041528,0.059321,0.059321,0.148884,0.725722,0.000005
192,0.041382,0.058637,0.058637,0.148668,0.728781,0.000002
193,0.041317,0.058664,0.058664,0.147647,0.728778,0.000002
194,0.041206,0.058148,0.058148,0.147601,0.730832,0.000002
195,0.041249,0.058418,0.058418,0.148369,0.729674,0.000002
196,0.041228,0.058855,0.058855,0.148584,0.727765,0.000002
197,0.041077,0.059128,0.059128,0.148007,0.726759,0.000002
198,0.041361,0.059119,0.059119,0.148844,0.726636,0.000002
199,0.041129,0.059101,0.059101,0.148381,0.726756,0.000002
200,0.041125,0.059619,0.059619,0.149686,0.724274,0.000002
201,0.041131,0.059250,0.059250,0.148427,0.726208,0.000002
202,0.041176,0.059628,0.059628,0.149456,0.724450,0.000002
203,0.040993,0.058614,0.058614,0.148580,0.728754,0.000001
204,0.041018,0.059412,0.059412,0.148396,0.725344,0.000001
205,0.041015,0.059230,0.059230,0.148471,0.726178,0.000001
206,0.041026,0.058557,0.058557,0.147130,0.729285,0.000001
207,0.040876,0.059079,0.059079,0.148396,0.726820,0.000001
208,0.040942,0.059512,0.059512,0.149063,0.724909,0.000001
209,0.040978,0.059062,0.059062,0.148706,0.726865,0.000001
210,0.040774,0.058725,0.058725,0.147570,0.728444,0.000001
211,0.040980,0.058621,0.058621,0.147230,0.728991,0.000001
212,0.040876,0.058619,0.058619,0.148255,0.728785,0.000001
213,0.040952,0.059525,0.059525,0.148833,0.724884,0.000001
214,0.040751,0.059440,0.059440,0.148530,0.725271,0.000001
215,0.040828,0.058667,0.058667,0.147599,0.728707,0.000001
216,0.040876,0.058901,0.058901,0.148060,0.727576,0.000001
217,0.040901,0.059346,0.059346,0.148965,0.725689,0.000001
218,0.040704,0.058854,0.058854,0.148201,0.727946,0.000001
219,0.040854,0.059117,0.059117,0.147753,0.726939,0.000001
220,0.040790,0.059649,0.059649,0.149370,0.724357,0.000001
221,0.040895,0.059819,0.059819,0.149248,0.723436,0.000001
222,0.040798,0.059329,0.059329,0.149348,0.725601,0.000001
223,0.040781,0.059836,0.059836,0.149862,0.723461,0.000001
224,0.040761,0.059342,0.059342,0.149278,0.725617,0.000001
225,0.040543,0.059040,0.059040,0.148204,0.726962,0.000000
226,0.040635,0.058476,0.058476,0.148008,0.729465,0.000000
227,0.040802,0.059247,0.059247,0.148234,0.726128,0.000000
228,0.040647,0.059660,0.059660,0.149465,0.724144,0.000000
229,0.040687,0.058553,0.058553,0.146912,0.729212,0.000000
230,0.040771,0.059154,0.059154,0.148493,0.726527,0.000000
231,0.040764,0.059221,0.059221,0.148494,0.726130,0.000000
232,0.040718,0.059427,0.059427,0.148670,0.725199,0.000000
233,0.040795,0.059034,0.059034,0.148615,0.726947,0.000000
234,0.040726,0.059321,0.059321,0.148182,0.726005,0.000000
235,0.040670,0.059345,0.059345,0.147523,0.725805,0.000000
236,0.040652,0.059999,0.059999,0.148690,0.722805,0.000000
237,0.040783,0.059763,0.059763,0.147963,0.723833,0.000000
238,0.040773,0.058820,0.058820,0.147408,0.728086,0.000000
239,0.040684,0.058671,0.058671,0.146944,0.728791,0.000000
240,0.040718,0.059141,0.059141,0.148117,0.726547,0.000000
241,0.040826,0.059146,0.059146,0.147799,0.726560,0.000000
242,0.040855,0.059486,0.059486,0.148844,0.724863,0.000000
243,0.040856,0.059247,0.059247,0.148412,0.726133,0.000000
244,0.040745,0.058971,0.058971,0.148152,0.727517,0.000000
245,0.040784,0.058868,0.058868,0.148253,0.727551,0.000000
246,0.040572,0.059576,0.059576,0.148120,0.724977,0.000000
247,0.040662,0.059593,0.059593,0.148676,0.724570,0.000000
248,0.040717,0.059237,0.059237,0.147983,0.726245,0.000000
249,0.040806,0.059139,0.059139,0.148366,0.726530,0.000000
250,0.040735,0.059475,0.059475,0.148715,0.725251,0.000000
251,0.040809,0.058803,0.058803,0.147221,0.728326,0.000000
252,0.040597,0.059340,0.059340,0.147587,0.725851,0.000000
253,0.040693,0.058975,0.058975,0.147883,0.727205,0.000000
254,0.040802,0.058421,0.058421,0.146791,0.730100,0.000000
255,0.040741,0.059804,0.059804,0.148768,0.723620,0.000000
256,0.040637,0.058334,0.058334,0.147500,0.730220,0.000000
257,0.040649,0.059403,0.059403,0.148382,0.725625,0.000000
258,0.040723,0.059594,0.059594,0.147918,0.724806,0.000000
259,0.040676,0.058842,0.058842,0.147696,0.728002,0.000000
260,0.040620,0.059755,0.059755,0.148680,0.723860,0.000000
261,0.040641,0.059207,0.059207,0.148364,0.726218,0.000000
262,0.040718,0.059400,0.059400,0.147610,0.725519,0.000000
